experiment,depth,variant,position,nodes,time_s,matchup,agent,opponent,seed,a_player,winner,a_won,plies,avg_move_time,a_nodes_per_move
E2,,,,,,Expectimax vs Random,Expectimax,Random,1061.0,2.0,2.0,1.0,6.0,0.012126027504564263,933.6666666666666
E2,,,,,,Expectimax vs Random,Expectimax,Random,1062.0,1.0,2.0,0.0,6.0,0.018411187498713844,1399.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1063.0,2.0,2.0,1.0,6.0,0.0040612916588239996,326.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1064.0,1.0,1.0,1.0,7.0,0.021944214290540134,1487.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1065.0,2.0,2.0,1.0,6.0,0.011718659496788556,908.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1066.0,1.0,1.0,1.0,5.0,0.01421561698662117,902.3333333333334
E2,,,,,,Expectimax vs Random,Expectimax,Random,1067.0,2.0,2.0,1.0,6.0,0.009006263833725825,674.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1068.0,1.0,1.0,1.0,7.0,0.01666314872064894,1182.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1069.0,2.0,2.0,1.0,4.0,0.004450239510333631,346.5
E2,,,,,,Expectimax vs Random,Expectimax,Random,1070.0,1.0,1.0,1.0,7.0,0.01192972029093653,827.75
E2,,,,,,Expectimax vs Random,Expectimax,Random,1071.0,2.0,2.0,1.0,6.0,0.006365909333302018,452.6666666666667
E2,,,,,,Expectimax vs Random,Expectimax,Random,1072.0,1.0,1.0,1.0,7.0,0.008730559559938098,562.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1073.0,2.0,2.0,1.0,6.0,0.005393416329752654,477.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1074.0,1.0,1.0,1.0,5.0,0.014159016602206975,883.6666666666666
E2,,,,,,Expectimax vs Random,Expectimax,Random,1075.0,2.0,2.0,1.0,6.0,0.010337951500938894,842.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1076.0,1.0,1.0,1.0,7.0,0.008701077138539404,597.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1077.0,2.0,2.0,1.0,4.0,0.004469052240892779,395.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1078.0,1.0,1.0,1.0,5.0,0.012823407998075709,823.6666666666666
E2,,,,,,Expectimax vs Random,Expectimax,Random,1079.0,2.0,2.0,1.0,4.0,0.0011899797391379252,105.5
E2,,,,,,Expectimax vs Random,Expectimax,Random,1080.0,1.0,1.0,1.0,5.0,0.02942760839359835,1968.6666666666667
E2,,,,,,Expectimax vs Random,Expectimax,Random,1081.0,2.0,2.0,1.0,6.0,0.0027232774931083745,226.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1082.0,1.0,1.0,1.0,7.0,0.005485446433470186,359.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1083.0,2.0,2.0,1.0,6.0,0.005308125172935736,421.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1084.0,1.0,1.0,1.0,5.0,0.02364209179067984,1556.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1085.0,2.0,2.0,1.0,6.0,0.006363708491941604,569.3333333333334
E2,,,,,,Expectimax vs Random,Expectimax,Random,1086.0,1.0,1.0,1.0,5.0,0.01685362519347109,1257.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1087.0,2.0,2.0,1.0,6.0,0.01188653482919714,968.3333333333334
